id,Gymnasium,domestic,n_study,technical
22842502,,,,
22842503,,,,
22842504,,,,
22842505,,,,
22842506,,,,
22842507,,,,
22842508,,,,
22842509,,,,
22842510,,,,
22842511,,,,
22842512,,,,
22842513,,,,
22842514,,,,
22842515,,,,
22842516,,,,
22842517,,,,
22842518,,,,
22842519,,,,
22842520,,,,
22842521,,,,
22842522,,,,
22842523,,,,
22842524,,,,
22842525,,,,
22842526,,,,
22842527,,,,
22842528,,,,
22842529,,,,
22842530,,,,
22842531,,,,
22842532,,,,
22842533,,,,
22842534,,,,
22842535,,,,
22842536,,,,
22842537,,,,
22842538,,,,
22842539,,,,
22842540,,,,
22842541,,,,
22842542,,,,
22842543,,,,
22842544,,,,
22842545,,,,
22842546,,,,
22842547,,,,
22842548,,,,
22842549,,,,
22842550,,,,
22842551,,,,
22842552,,,,
22842553,,,,
22842554,,,,
22842555,,,,
22842556,,,,
22842557,,,,
22842558,,,,
22842559,,,,
22842560,,,,
22842561,,,,
22842562,,,,
22842563,,,,
22842564,,,,
22842565,,,,
22842566,,,,
22842567,,,,
22842568,,,,
22842637,,,,
22842638,,,,
22842639,,,,
22842640,,,,
22842641,,,,
22842642,,,,
22842643,,,,
22842644,,,,
22842645,,,,
22842646,,,,
22842647,,,,
22842648,,,,
22842649,,,,
22842650,,,,
22842651,,,,
22842652,,,,
22842653,,,,
22842654,,,,
22842655,,,,
22842656,,,,
22842657,,,,
22842658,,,,
22842659,,,,
22842660,,,,
22842661,,,,
22842662,,,,
22842663,,,,
22842664,,,,
22842686,,,,
22842687,,,,
22842688,,,,
22842689,,,,
22842690,,,,
22842691,,,,
22842692,,,,
22842693,,,,
22842694,,,,
22842695,,,,
22842696,,,,
22842697,,,,
22842698,,,,
22842699,,,,
22842700,,,,
22842701,,,,
22842702,,,,
22842703,,,,
22842704,,,,
22842705,,,,
22842714,,,,
22842715,,,,
22842716,,,,
22842717,,,,
22842718,,,,
22842719,,,,
22842720,,,,
22842721,,,,
22842722,,,,
22842723,,,,
22842724,,,,
22842725,,,,
22842726,,,,
22842727,,,,
22842728,,,,
22842729,,,,
22842730,,,,
22842731,,,,
22842732,,,,
22842733,,,,
22842734,,,,
22842735,,,,
22842736,,,,
22842737,,,,
22842738,,,,
22842739,,,,
22842740,,,,
22842741,,,,
22842742,,,,
22842743,,,,
22842744,,,,
22842745,,,,
22842746,,,,
22842747,,,,
22842748,,,,
22842749,,,,
